person_id,role_type,contest,first_name,last_name,full_name,nickname,abbreviation,coalition,state,area,membership_type,start_date,end_date,is_substitute,is_titular,date_birth,gender,dead_or_alive,last_degree_of_studies,profession_1,profession_2,profession_3,profession_4,profession_5,profession_6,Website,URL_FB_page,URL_FB_profile,URL_IG,URL_TW,URL_others,URL_photo,source_of_truth
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Andrea Marcela,Geiger Villalpando,Andrea Marcela Geiger Villalpando,,MC,,Baja California Sur,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,PhD Degree,"docente, investigadora, abogada",Didactics and pedagogy,Environmental sciences,Law,,,,https://www.facebook.com/AndreaGeigerVillalpando,,,https://www.twitter.com/DraAndreaGeiger,,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/148919602_112694450827990_9145433027332785205_n.png?_nc_cat=110&ccb=1-5&_nc_sid=174925&_nc_eui2=AeGj41O_6RB8JBgLd7OlAVxVGTwkLeM73m4ZPCQt4zvebpKuI-2JC0hpvCBC5Ef3H9qc9JcCsBJ_qtter62gxsBk&_nc_ohc=P8snUc8SyOsAX_DO4i-&_nc_ht=scontent-qro1-1.xx&oh=00_AT9wIzwsnmbFm9ojTp_FogWeoRDdMGHMU_1_P8O9HGVjvA&oe=625F9C7A,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Gabriel,Andrade Leyva,Gabriel Andrade Leyva,,PANAL,,Baja California Sur,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Master Degree,"ingeniero civil, docente",Construction and civil engineering,Educational counseling and guidance,,,,,,https://www.facebook.com/gabriel.andradeleyva,https://www.instagram.com/andradeleyva,https://www.twitter.com/GAL280306,https://www.linkedin.com/in/gabriel-andrade-leyva-29bb1721/?originalSubdomain=mx,https://scontent.fmex2-1.fna.fbcdn.net/v/t1.6435-9/126884226_3822702624428789_784342822171097757_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFBrGNTde8gPkuMPZyRTLy77dNptyra6Knt02m3KtroqcqoNV7ci8D9Bq2bEErG0oiCAgfIfcZP62As1_lBxteU&_nc_ohc=Rs9QYB3p3AQAX-lPwkX&_nc_ht=scontent.fmex2-1.fna&oh=00_AT9o1_-KNr4Qam1bmsd0ODE_Z3jY0o83BHA9W7NcoHEwgA&oe=625E97CA,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Alejandro Javier,Lage Suárez,Alejandro Javier Lage Suárez,,PBSC,,Baja California Sur,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,University 1st Professional Degree,"economista, coordinador administrativo y de campañas de figuras públicas",Economy,Marketing and publicity,,,,,,https://www.facebook.com/alejandro.lage.71,https://www.instagram.com/alejandrolagesuarez,https://www.twitter.com/AleLageSuarez,,https://pbs.twimg.com/profile_images/1308395886502797312/VqdcENKp_400x400.jpg,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Adonai,Carreón Estrada,Adonai Carreón Estrada,,PES,,Baja California Sur,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,PhD Degree,"abogado, agente del ministerio público, procurador general de justicia de BCS",Law,,,,,,https://www.facebook.com/AdonaiCarreonOficial,,https://www.instagram.com/adonaicarreonoficial,https://www.twitter.com/adonai_carreon,,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/193118689_260006499205360_2875455880849231231_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeGS1UM8UnDBL8KOu1ww5uB34fYthwHrU5rh9i2HAetTmq1MlCG93evrjKKr1145HPNqdq4eJSUB_xC1MhJrkflp&_nc_ohc=E3dU4N1jnTkAX_JTclx&_nc_ht=scontent-qro1-1.xx&oh=00_AT9seOzkCVw4kX2WaB21S-HGsuc5uyHneM0pjGWBwwPi3A&oe=625EF5C1,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Manuel,Dersdepanian Skotinopulos,Manuel Dersdepanian Skotinopulos,,RSP,,Baja California Sur,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,empresario,Business administration and management,,,,,,,https://www.facebook.com/manueldersdepanianskotinopulos,https://www.instagram.com/manuelgoberbcs,https://www.twitter.com/ManuelGoberBCS,https://mx.linkedin.com/in/manuel-dersdepanian-25451826,https://pbs.twimg.com/profile_images/1381232086405808130/xdWk27-5_400x400.jpg,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Elizabeth,Wayas Barroso,Elizabeth Wayas Barroso,,FxM,,Baja California Sur,,campaigning_politician,2021-04-07,2021-06-02,No,TRUE,,F,Vivo,,"piloto profesional de carreras, activista social, directora de turismo",Sports,Social work and care,Public administration,,,,https://www.facebook.com/wayasgobernadora,https://www.facebook.com/liz.wayas.b,https://www.instagram.com/elizabethwayasb,,wayascampeonaconvalores@gmail.com,https://scontent.fmex10-2.fna.fbcdn.net/v/t1.6435-9/182976960_118380567029717_278148827783161153_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8bfeb9&_nc_eui2=AeGb89eKVy6oBjf6OK7AvNjxpcRJ4WUqgBelxEnhZSqAF9PEXax8DlnYqlWcbT0GI00FqTxTzSpaX4N2o98mEA9N&_nc_ohc=Ig9wK5mpEbgAX-y36EE&_nc_ht=scontent.fmex10-2.fna&oh=31d834bb9630dca5a07dc428640abe13&oe=60C0F5EA,
,governmentOfficer,Gubernatura de CAMPECHE,Christian Mishel,Castro Bello,Christian Mishel Castro Bello,,PRI,Va por Campeche,Campeche,,campaigning_politician,2021-03-29,2021-06-02,No,TRUE,,M,Vivo,Bachelor´s Degree,"subdirector administrativo fiscalia general de Campeche, delegado federal, diputado local, servidor público",Public administration,Political Sciences,,,,,https://www.facebook.com/ChristianCastroBello,,https://www.instagram.com/christiancastrobello,https://www.twitter.com/chriscastrob,https://www.linkedin.com/in/christian-castro-bello-b49428204,https://scontent.fmex2-1.fna.fbcdn.net/v/t1.6435-9/194210350_1957480911073819_994282143493521479_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFa8kZCV5BxtYBdKTvYQDVSQa_HS8EF4ZlBr8dLwQXhmceVofxn5zkvpANo9RvMwFkq9V7SeNzBhiKwhNHhmkiI&_nc_ohc=FJUjJGds5dQAX_Wx9nI&tn=LOUdjX976aVLlJn4&_nc_ht=scontent.fmex2-1.fna&oh=00_AT9-JIKvTWePSw0HWFrj0nZCKcWTWfAFxylGy4HP08hHuQ&oe=625D8846,
18,governmentOfficer,Gubernatura de CAMPECHE,Layda Elena,Sansores San Román,Layda Elena Sansores San Román,,PT,Juntos hacemos historia en Campeche,Campeche,,officeholder,2021-09-16,2027-09-15,No,TRUE,1945-08-07,F,Vivo,Master Degree,"servidor público, diputada federal, senadora",Public administration,Political Sciences,,,,,https://www.facebook.com/LaydaSansores,,https://www.instagram.com/laydasansores,https://www.twitter.com/LaydaSansores,,http://sil.gobernacion.gob.mx/Archivos/Fotos/9217939.jpg,
,governmentOfficer,Gubernatura de CAMPECHE,Eliseo,Fernández Montufar,Eliseo Fernández Montufar,,MC,,Campeche,,campaigning_politician,2021-03-29,2021-06-02,No,TRUE,,M,Vivo,Master Degree,"director operaciones grupo URBA, regidor, director de KMB",Administration in the field of engineering and construction,Political Sciences,Tourist Administration,,,,https://www.facebook.com/EFMCampeche,,https://www.instagram.com/eliseofernandezm,https://www.twitter.com/EliseoFdzM,efm@eliseofernandez.com,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/188959978_4017386601643505_7350763368945949781_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFJoZsxC2SrFTlb3w6iSKsk87dAdv5-oZ3zt0B2_n6hnRUqaQOy-lPH_KckJsBvorjnt8ZaRG5TqISrfyMEWL6c&_nc_ohc=SoJRKOVqNFEAX_pRS5P&_nc_oc=AQlMlNVF7gJXEGOl8yoitU_5vtFVsUvwiFpcI7Hh9yBBlYfKrd7SmRnDKuccKSHaWCY&_nc_ht=scontent-qro1-1.xx&oh=00_AT--hoLcX9SpQlvJakoNtYbE_8__9ovnqAzu5MZykfL8Mw&oe=625F9788,
,governmentOfficer,Gubernatura de CAMPECHE,Sandra Guadalupe,Sánchez Díaz,Sandra Guadalupe Sánchez Díaz,,PVEM,,Campeche,,campaigning_politician,2021-03-29,2021-06-02,No,TRUE,,F,Vivo,,diputada local,Political Sciences,,,,,,https://www.facebook.com/sandrasanchezoficial,,https://www.instagram.com/sandrasanchezoficial,,hola@sandrasanchez.com.mx,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/140818083_1828713207304909_1315799837371264174_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=174925&_nc_eui2=AeHlULfgL7coBaZsHqMkyZX-wnsOwDgW8v7Cew7AOBby_iBQ2XvpTIedHb22NkjYO6AStpmo7jimyZ8ACaoa9m0E&_nc_ohc=nmLbFub9naoAX8ZBZmS&_nc_ht=scontent-qro1-1.xx&oh=00_AT-TKmgFlEQOcR65WWKLNINZBdiLWU0v6Y4FPRXbIh95Sw&oe=625ED71B,
,governmentOfficer,Gubernatura de CAMPECHE,Luis Alonso,García Hernández,Luis Alonso García Hernández,,FxM,,Campeche,,campaigning_politician,2021-03-29,2021-06-02,No,TRUE,,M,Vivo,High School,"servidor público, diputado local",Public administration,Political Sciences,,,,,https://www.facebook.com/DiputadoLuisGarcia,https://www.facebook.com/luisalonso.garciahernandez.1,,,csdipluisgarcia@gmail.com,https://www.congresocam.gob.mx/ubicatudiputado/img/diputados/LUIS-ALONSO.jpg,
,governmentOfficer,Gubernatura de CAMPECHE,Nicthe-Ha,Aguilera Silva,Nicthe-Ha Aguilera Silva,,PES,,Campeche,,campaigning_politician,2021-03-29,2021-06-02,No,TRUE,,F,Vivo,,representante del Frente Nacional por la Familia,Social work and care,,,,,https://www.nicthe-haaguilera.com,https://www.facebook.com/NicTheHaAguileraCampeche,,,,nicthehasilva@outlook.es,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/163107798_110650404440677_8352612602182253031_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFvCJYtQKuAEh5cKl-Nr1XjmkONm3BqR7-aQ42bcGpHv9-GHvrrJIwxtWJ9tS5trtjDsUcg_nn3GnwDVvoFnO8e&_nc_ohc=Xe5I-dXWwZkAX-DnwjP&tn=LOUdjX976aVLlJn4&_nc_ht=scontent-qro1-1.xx&oh=00_AT9kWVPq9lBO6b7l9F0DGJTs7AvOWowGMdi1H1rVKpgUgw&oe=62605F26,
,governmentOfficer,Gubernatura de CAMPECHE,María Magdalena,Cocom Arbez,María Magdalena Cocom Arbez,,RSP,,Campeche,,campaigning_politician,2021-03-29,2021-06-02,No,TRUE,,F,Vivo,,,,,,,,,,https://www.facebook.com/magdalena.cocom.98,,,,https://scontent.fmex10-2.fna.fbcdn.net/v/t1.6435-9/174178639_108679764684828_3469609228163343323_n.png?_nc_cat=103&ccb=1-3&_nc_sid=09cbfe&_nc_eui2=AeG5qpnwDHHyT3PnMvcNvRl1ClVsw6U6Eb8KVWzDpToRvzX8uEyuRNFbgEccrpLTH4B5tNteKKtih5YryUS90lQV&_nc_ohc=3iUQCDtytOYAX8qiogj&_nc_ht=scontent.fmex10-2.fna&oh=f666491e18f72f82f628cbe363c69414&oe=60C22BA0,
,governmentOfficer,Gubernatura de CHIHUAHUA,Brenda Francisca,Ríos Prieto,Brenda Francisca Ríos Prieto,,PVEM,,Chihuahua,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,University 1st Professional Degree,"servidor público, diputada local, delegada nacional, accionista empresarial",Public administration,Political Sciences,Business administration and management,,,,https://www.facebook.com/BrendaRiosVerde,,https://www.instagram.com/brendariosverde,https://www.twitter.com/brendariosverde,,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/168670036_119241073583940_5095749064137472933_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=174925&_nc_eui2=AeEqO9bwP9NINVOaDuf5sB02JBIJ903W4fwkEgn3Tdbh_PoFvOK1heppq1BBV8ZEM71jbLFBrLUJLakBgpwB1yOh&_nc_ohc=3RQkuVH6e6UAX8UwEzf&tn=LOUdjX976aVLlJn4&_nc_ht=scontent-qro1-1.xx&oh=00_AT_INH9uWOlXLQAYAsoK8-Kk87nXSttyHJvcrcRh_mqiBg&oe=625FC739,
25,governmentOfficer,Gubernatura de CHIHUAHUA,María Eugenia,Campos Galván,María Eugenia Campos Galván,Maru Campos,PAN,Nos Une Chihuahua,Chihuahua,,officeholder,2021-09-08,2027-09-07,No,TRUE,1975-09-11,F,Vivo,Master Degree,"servidor público, diputada federal, diputada local, presidenta municipal",Public administration,Political Sciences,,,,,https://www.facebook.com/MaruCamposG,,https://www.instagram.com/marucamposchih,https://www.twitter.com/MaruCampos_G,https://www.youtube.com/channel/UCyLOIo--JPxKFrjsX6yQ2og,"http://sil.gobernacion.gob.mx/Archivos/Fotos/2300870.jpg,https://scontent.fmex10-4.fna.fbcdn.net/v/t1.6435-9/168945506_5969251029758997_7545867777512798343_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=09cbfe&_nc_eui2=AeFrmKRLiEMBWaaJJ5nXZ0NIDSFiIWdV60ENIWIhZ1XrQXDS0RD5WUddHwLf2XlGgocjL1rI8e9V7Uien3uO29fw&_nc_ohc=uGF-Cd96uxUAX_BwMK7&_nc_ht=scontent.fmex10-4.fna&oh=36f8d40fd999607dd96118b349babeb4&oe=60C3F80B",
,governmentOfficer,Gubernatura de CHIHUAHUA,Luis Carlos,Arrieta Lavenant,Luis Carlos Arrieta Lavenant,Capi,PES,,Chihuahua,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1962-11-16,M,Vivo,Bachelor´s Degree,"piloto aviador, ganadero y agricultor, comisionado de asuntos electorales del PT","Motor vehicle, ship and aircraft engineering",Agricultural and livestock production and exploitation,Public administration,,,,https://www.facebook.com/Luis-Carlos-El-Capi-Arrieta-100613308783558,,,,,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/159922604_100613585450197_5958650411258021305_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=174925&_nc_eui2=AeG6xOaTCCxZ4ZeRtJan-g16Y0QN0WEi3MpjRA3RYSLcyjWcuN5qECZqqeizYOaCEG1EkQPe-qc6KnRSWitB9W7a&_nc_ohc=QmDcEYryxi0AX9NUpry&_nc_oc=AQmnN6xrW_75VANH5H_PjknSgiJ-m1lZzgF5YyaRgXTLyxIoGHpp2UmE_Px55aLQdvI&_nc_ht=scontent-qro1-1.xx&oh=00_AT-KCBZG9kAvF3QwViiy8w9NRRsz8gKyPobyACae4AX8YA&oe=625FCF4E,
,governmentOfficer,Gubernatura de CHIHUAHUA,María Eugenia,Baeza García,María Eugenia Baeza García,,RSP,,Chihuahua,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,Bachelor´s Degree,"empresaria, filántropa, luchadora social, servidora pública",Business administration and management,Social work and care,Public administration,,,,,https://www.facebook.com/maeugenia.baezagarcia,,,,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/30572021_1594411303929024_1145349876695957504_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFXHCr1ktzgdkRER9h0jrK791prFDNd_8r3WmsUM13_yqtheh90CEa3Q8Svq_w9GSk0t6DvOSyNliCCbdfT6LfC&_nc_ohc=8nzLujonQBAAX-YEWUT&_nc_ht=scontent-qro1-1.xx&oh=00_AT8F2H7HCJT3tnk_IEg1iJydjXYVamhBI4-OgkU-4M7BvQ&oe=625F859B,
,governmentOfficer,Gubernatura de CHIHUAHUA,Alejandro,Diaz Villalobos,Alejandro Diaz Villalobos,,PFM,,Chihuahua,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1970-08-03,M,Vivo,University 1st Professional Degree,"médico pediatra, delegado de ong",Pediatrics and neonatology,Social work and care,,,,,https://www.facebook.com/alejandrodiazmd,,https://www.instagram.com/alejandrodiazmd,https://www.twitter.com/alejandrodiazmd,,https://scontent.fmex2-2.fna.fbcdn.net/v/t1.6435-9/95886163_135109471439269_3947344381207379968_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=174925&_nc_eui2=AeF3EjTDkJ7gkwJXEaMFZPzsWkErdlzyVhxaQSt2XPJWHEa2ihDF4bMHyaAfTGiJiv8qwy1Gy33STVuHAZino7Lp&_nc_ohc=KZ5wNyIqjhQAX-Cp6Lx&_nc_ht=scontent.fmex2-2.fna&oh=00_AT-AoWqBpOe5HhImXczPahNa3z57E3NAFqglI7TYqD6ptQ&oe=625CF9D3,
,governmentOfficer,Gubernatura de CHIHUAHUA,Graciela,Ortiz González,Graciela Ortiz González,,PRI,,Chihuahua,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1954-11-29,F,Vivo,Bachelor´s Degree,"senadora, diputada local, diputada federal, legisladora, servidor público",Political Sciences,Public administration,,,,https://www.gracielaortiz.org,https://www.facebook.com/GOrtizGlez,,https://www.instagram.com/gortizglez,https://www.twitter.com/GOrtizGlez,,"http://www.sil.gobernacion.gob.mx/Archivos/Fotos/9217607.jpg,https://scontent.fmex10-4.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/181751007_2440054292807961_3816048805579706001_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=85a577&_nc_ohc=Zw3DWgtrDkcAX9xInG1&_nc_ht=scontent.fmex10-4.fna&tp=14&oh=73b616af5293fd16a9e5714957e65ff5&oe=60C3B8B3",
,governmentOfficer,Gubernatura de CHIHUAHUA,Juan Carlos,Loera de la Rosa,Juan Carlos Loera de la Rosa,,Morena,Juntos hacemos historia en Chihuahua,Chihuahua,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1969-04-27,M,Vivo,Master Degree,"empresario, delegado distrital, consejero nacional, diputado federal, ingeniero en manufactura",Business administration and management,Political Sciences,"Industrial, mechanical and metallurgical engineering",,,,https://www.facebook.com/JuanCarlosLoeradelaRosa,,https://www.instagram.com/juancarlosloera,https://www.twitter.com/JloeraJuan,,http://sil.gobernacion.gob.mx/Archivos/Fotos/9223791.jpg,
