"contest_id","area_id","title","start_date","end_date","election_identifier"
17,233,"Diputación del Distrito Federal 1 de MORELOS",2024-03-01,2024-05-29,"MX-MOR-CUERNAVACA-NATIONAL_LOWER-runoff-2024"
18,240,"Diputación del Distrito Federal 1 de NAYARIT",2024-03-01,2024-05-29,"MX-NAY-ACAPONETA,HUAJICORI,DEL NAYAR,ROSAMORADA,RUIZ,SAN BLAS,SANTIAGO IXCUINTLA,TECUALA,TUXPAN-NATIONAL_LOWER-runoff-2024"
19,245,"Diputación del Distrito Federal 1 de NUEVO LEÓN",2024-03-01,2024-05-29,"MX-NLE-SAN PEDRO GARZA GARCIA,SANTA CATARINA-NATIONAL_LOWER-runoff-2024"
20,258,"Diputación del Distrito Federal 1 de OAXACA",2024-03-01,2024-05-29,"MX-OAX-ACATLAN DE PEREZ FIGUEROA,AYOTZINTEPEC,COSOLAPA,LOMA BONITA,SAN JOSE CHILTEPEC,SAN JUAN BAUTISTA TUXTEPEC,SAN JUAN BAUTISTA VALLE NACIONAL,SAN LUCAS OJITLAN,SAN MIGUEL SOYALTEPEC,SANTA MARIA JACATEPEC,SANTIAGO JOCOTEPEC-NATIONAL_LOWER-runoff-2024"
21,269,"Diputación del Distrito Federal 1 de PUEBLA",2024-03-01,2024-05-29,"MX-PUE-JUAN GALINDO,NAUPAN,PAHUATLAN,PANTEPEC,SAN FELIPE TEPATLAN,TLACUILOTEPEC,TLAOLA,TLAPACOYA,TLAXCO,VENUSTIANO CARRANZA,XICOTEPEC,ZIHUATEUTLA,AMIXTLAN,HONEY,FRANCISCO Z. MENA,HERMENEGILDO GALEANA,HUAUCHINANGO,JALPAN,JOPALA-NATIONAL_LOWER-runoff-2024"
22,291,"Diputación del Distrito Federal 1 de QUERÉTARO",2024-03-01,2024-05-29,"MX-QUE-ARROYO SECO,CADEREYTA DE MONTES,COLON,JALPAN DE SERRA,LANDA DE MATAMOROS,PEDRO ESCOBEDO,PE?AMILLER,PINAL DE AMOLES,SAN JOAQUIN,TOLIMAN-NATIONAL_LOWER-runoff-2024"
23,285,"Diputación del Distrito Federal 1 de QUINTANA ROO",2024-03-01,2024-05-29,"MX-ROO-BENITO JUAREZ,COZUMEL,ISLA MUJERES,LAZARO CARDENAS,SOLIDARIDAD,TULUM,PUERTO MORELOS-NATIONAL_LOWER-runoff-2024"
24,307,"Diputación del Distrito Federal 1 de SAN LUIS POTOSÍ",2024-03-01,2024-05-29,"MX-SLP-AHUALULCO,CATORCE,CEDRAL,CHARCAS,MATEHUALA,MEXQUITIC DE CARMONA,MOCTEZUMA,SALINAS,SANTO DOMINGO,VANEGAS,VENADO,VILLA DE GUADALUPE,VILLA DE LA PAZ,VILLA DE RAMOS-NATIONAL_LOWER-runoff-2024"
25,298,"Diputación del Distrito Federal 1 de SINALOA",2024-03-01,2024-05-29,"MX-SIN-CONCORDIA,ESCUINAPA,MAZATLAN,ROSARIO-NATIONAL_LOWER-runoff-2024"
26,316,"Diputación del Distrito Federal 1 de SONORA",2024-03-01,2024-05-29,"MX-SON-ALTAR,ATIL,OQUITOA,SARIC,TRINCHERAS,TUBUTAMA,CABORCA,PITIQUITO,PUERTO PE?ASCO,SAN LUIS RIO COLORADO,GENERAL PLUTARCO ELIAS CALLES-NATIONAL_LOWER-runoff-2024"
27,324,"Diputación del Distrito Federal 1 de TABASCO",2024-03-01,2024-05-29,"MX-TAB-BALANCAN,EMILIANO ZAPATA,JONUTA,MACUSPANA,TENOSIQUE-NATIONAL_LOWER-runoff-2024"
28,335,"Diputación del Distrito Federal 1 de TAMAULIPAS",2024-03-01,2024-05-29,"MX-TAM-NUEVO LAREDO-NATIONAL_LOWER-runoff-2024"
29,331,"Diputación del Distrito Federal 1 de TLAXCALA",2024-03-01,2024-05-29,"MX-TLA-ATLANGATEPEC,ATLTZAYANCA,EL CARMEN TEQUEXQUITLA,CUAPIAXTLA,CUAXOMULCO,HUAMANTLA,IXTENCO,SANTA CRUZ TLAXCALA,TERRENATE,TETLA DE LA SOLIDARIDAD,TLAXCO,TOCATLAN,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,TZOMPANTEPEC,XALOZTOC,SAN JOSE TEACALCO,EMILIANO ZAPATA,LAZARO CARDENAS,APIZACO-NATIONAL_LOWER-runoff-2024"
30,345,"Diputación del Distrito Federal 1 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-NARANJOS AMATLAN,CITLALTEPETL,CHINAMPA DE GOROSTIZA,OZULUAMA,PANUCO,PUEBLO VIEJO,TAMALIN,TAMIAHUA,TAMPICO ALTO,TANCOCO,TANTIMA,TEMPOAL,EL HIGO-NATIONAL_LOWER-runoff-2024"
31,366,"Diputación del Distrito Federal 1 de YUCATÁN",2024-03-01,2024-05-29,"MX-YUC-BUCTZOTZ,CALOTMUL,CENOTILLO,CUNCUNUL,CHANKOM,CHEMAX,CHICHIMILA,CHIKINDZONOT,DZIDZANTUN,DZILAM DE BRAVO,DZILAM GONZALEZ,DZITAS,DZONCAUICH,ESPITA,IZAMAL,KANTUNIL,KAUA,PANABA,QUINTANA ROO,RIO LAGARTOS,SAN FELIPE,SUCILA,SUDZAL,TEKAL DE VENEGAS,TEKOM,TEMAX,TEMOZON,TEPAKAN,TINUM,TIXCACALCUPUL,TIZIMIN,TUNKAS,UAYMA,VALLADOLID,YAXCABA-NATIONAL_LOWER-runoff-2024"
32,372,"Diputación del Distrito Federal 1 de ZACATECAS",2024-03-01,2024-05-29,"MX-ZAC-CALERA,CA?ITAS DE FELIPE PESCADOR,CHALCHIHUITES,FRESNILLO,GENERAL ENRIQUE ESTRADA,JIMENEZ DEL TEUL,SAIN ALTO,SOMBRERETE-NATIONAL_LOWER-runoff-2024"
33,51,"Diputación del Distrito Federal 10 de CHIAPAS",2024-03-01,2024-05-29,"MX-CHP-JIQUIPILAS,VILLA CORZO,VILLAFLORES,MONTECRISTO DE GUERRERO,EL PARRAL,ANGEL ALBINO CORZO,CINTALAPA,LA CONCORDIA-NATIONAL_LOWER-runoff-2024"
34,81,"Diputación del Distrito Federal 10 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-MIGUEL HIDALGO-NATIONAL_LOWER-runoff-2024"
35,122,"Diputación del Distrito Federal 10 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ECATEPEC DE MORELOS-NATIONAL_LOWER-runoff-2024"
36,175,"Diputación del Distrito Federal 10 de GUANAJUATO",2024-03-01,2024-05-29,"MX-GUA-CORTAZAR,MOROLEON,SALVATIERRA,SANTIAGO MARAVATIO,URIANGATO,YURIRIA-NATIONAL_LOWER-runoff-2024"
37,199,"Diputación del Distrito Federal 10 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-ZAPOPAN-NATIONAL_LOWER-runoff-2024"
38,221,"Diputación del Distrito Federal 10 de MICHOACÁN DE OCAMPO",2024-03-01,2024-05-29,"MX-MIC-MORELIA-NATIONAL_LOWER-runoff-2024"
39,246,"Diputación del Distrito Federal 10 de NUEVO LEÓN",2024-03-01,2024-05-29,"MX-NLE-MONTERREY-NATIONAL_LOWER-runoff-2024"
40,259,"Diputación del Distrito Federal 10 de OAXACA",2024-03-01,2024-05-29,"MX-OAX-HEROICA CIUDAD DE EJUTLA DE CRESPO,MAGDALENA MIXTEPEC,MIAHUATLAN DE PORFIRIO DIAZ,MONJAS,LA PE,PLUMA HIDALGO,SAN AGUSTIN AMATENGO,SAN AGUSTIN LOXICHA,SAN ANDRES PAXTLAN,SAN ANDRES ZABACHE,SAN BALTAZAR LOXICHA,SAN BARTOLOME LOXICHA,SAN BERNARDO MIXTEPEC,SAN CRISTOBAL AMATLAN,SAN FRANCISCO LOGUECHE,SAN FRANCISCO SOLA,SAN ILDEFONSO AMATLAN,SAN ILDEFONSO SOLA,SAN JERONIMO COATLAN,SAN JOSE DEL PE?ASCO,SAN JUAN LACHIGALLA,SAN LUIS AMATLAN,SAN MARCIAL OZOLOTEPEC,SAN MARTIN DE LOS CANSECOS,SAN MARTIN LACHILA,SAN MATEO PI?AS,SAN MATEO RIO HONDO,SAN MIGUEL COATLAN,SAN MIGUEL EJUTLA,SAN MIGUEL MIXTEPEC,SAN MIGUEL SUCHIXTEPEC,SAN NICOLAS,SAN PABLO COATLAN,SAN PEDRO EL ALTO,SAN PEDRO POCHUTLA,AYOQUEZCO DE ALDAMA,CANDELARIA LOXICHA,COATECAS ALTAS,LA COMPA?IA,SAN SEBASTIAN COATLAN,SAN SEBASTIAN RIO HONDO,SAN SIMON ALMOLONGAS,SAN VICENTE COATLAN,SAN VICENTE LACHIXIO,SANTA ANA,SANTA ANA TLAPACOYAN,SANTA CATARINA CUIXTLA,SANTA CATARINA LOXICHA,SANTA CRUZ MIXTEPEC,SANTA CRUZ XITLA,SANTA LUCIA MIAHUATLAN,SANTA MARIA COLOTEPEC,SANTA MARIA HUATULCO,SANTA MARIA LACHIXIO,SANTA MARIA OZOLOTEPEC,SANTA MARIA SOLA,SANTA MARIA TONAMECA,SANTO DOMINGO DE MORELOS,SANTO DOMINGO OZOLOTEPEC,SANTO TOMAS TAMAZULAPAN,SITIO DE XITLAPEHUA,VILLA SOLA DE VEGA,TANICHE,YOGANA,ZIMATLAN DE ALVAREZ-NATIONAL_LOWER-runoff-2024"
41,270,"Diputación del Distrito Federal 10 de PUEBLA",2024-03-01,2024-05-29,"MX-PUE-CORONANGO,CUAUTLANCINGO,JUAN C. BONILLA,SAN ANDRES CHOLULA,SAN GREGORIO ATZOMPA,SAN JERONIMO TECUANIPAN,SAN PEDRO CHOLULA-NATIONAL_LOWER-runoff-2024"
42,346,"Diputación del Distrito Federal 10 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-XALAPA-NATIONAL_LOWER-runoff-2024"
43,52,"Diputación del Distrito Federal 11 de CHIAPAS",2024-03-01,2024-05-29,"MX-CHP-ALTAMIRANO,AMATENANGO DEL VALLE,CHANAL,HUIXTAN,LA INDEPENDENCIA,LAS MARGARITAS,OXCHUC,SAN CRISTOBAL DE LAS CASAS,TEOPISCA,MARAVILLA TENEJAPA-NATIONAL_LOWER-runoff-2024"
44,82,"Diputación del Distrito Federal 11 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-VENUSTIANO CARRANZA-NATIONAL_LOWER-runoff-2024"
45,123,"Diputación del Distrito Federal 11 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ECATEPEC DE MORELOS-NATIONAL_LOWER-runoff-2024"
46,176,"Diputación del Distrito Federal 11 de GUANAJUATO",2024-03-01,2024-05-29,"MX-GUA-LEON-NATIONAL_LOWER-runoff-2024"
47,200,"Diputación del Distrito Federal 11 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-GUADALAJARA-NATIONAL_LOWER-runoff-2024"
48,222,"Diputación del Distrito Federal 11 de MICHOACÁN DE OCAMPO",2024-03-01,2024-05-29,"MX-MIC-ACUITZIO,ARIO,HUIRAMBA,LAGUNILLAS,MADERO,NOCUPETARO,PATZCUARO,SALVADOR ESCALANTE,TACAMBARO,TARETAN,TINGAMBATO,TURICATO,TZINTZUNTZAN,ZIRACUARETIRO-NATIONAL_LOWER-runoff-2024"
49,247,"Diputación del Distrito Federal 11 de NUEVO LEÓN",2024-03-01,2024-05-29,"MX-NLE-GUADALUPE,JUAREZ,MONTERREY-NATIONAL_LOWER-runoff-2024"
50,271,"Diputación del Distrito Federal 11 de PUEBLA",2024-03-01,2024-05-29,"MX-PUE-PUEBLA-NATIONAL_LOWER-runoff-2024"
51,347,"Diputación del Distrito Federal 11 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-COATZACOALCOS,IXHUATLAN DEL SURESTE,MOLOACAN,AGUA DULCE-NATIONAL_LOWER-runoff-2024"
52,53,"Diputación del Distrito Federal 12 de CHIAPAS",2024-03-01,2024-05-29,"MX-CHP-CACAHOATAN,FRONTERA HIDALGO,METAPA,SUCHIATE,TAPACHULA,TUXTLA CHICO,UNION JUAREZ-NATIONAL_LOWER-runoff-2024"
53,83,"Diputación del Distrito Federal 12 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-CUAUHTEMOC-NATIONAL_LOWER-runoff-2024"
54,124,"Diputación del Distrito Federal 12 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-IXTAPALUCA-NATIONAL_LOWER-runoff-2024"
55,177,"Diputación del Distrito Federal 12 de GUANAJUATO",2024-03-01,2024-05-29,"MX-GUA-CELAYA-NATIONAL_LOWER-runoff-2024"
56,201,"Diputación del Distrito Federal 12 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-TLAJOMULCO DE ZU?IGA-NATIONAL_LOWER-runoff-2024"
,0,"Diputación del Distrito Federal 12 de MICHOACÁN DE OCAMPO",2021-04-04,2021-06-02,"MX-MIC-AGUILILLA,APATZINGAN,AQUILA,BUENAVISTA,COAHUAYANA,COALCOMAN DE VAZQUEZ PALLARES,CHINICUILA,NUEVO PARANGARICUTIRO,PERIBAN,TANCITARO,TEPALCATEPEC-NATIONAL_LOWER-runoff-2024"
58,248,"Diputación del Distrito Federal 12 de NUEVO LEÓN",2024-03-01,2024-05-29,"MX-NLE-CADEREYTA JIMENEZ,JUAREZ,MARIN,PESQUERIA-NATIONAL_LOWER-runoff-2024"
59,272,"Diputación del Distrito Federal 12 de PUEBLA",2024-03-01,2024-05-29,"MX-PUE-PUEBLA-NATIONAL_LOWER-runoff-2024"
60,348,"Diputación del Distrito Federal 12 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-BOCA DEL RIO,JAMAPA,MANLIO FABIO ALTAMIRANO,MEDELLIN DE BRAVO,VERACRUZ-NATIONAL_LOWER-runoff-2024"
61,54,"Diputación del Distrito Federal 13 de CHIAPAS",2024-03-01,2024-05-29,"MX-CHP-AMATENANGO DE LA FRONTERA,BEJUCAL DE OCAMPO,BELLA VISTA,CHICOMUSELO,LA GRANDEZA,HUEHUETAN,MAZAPA DE MADERO,MAZATAN,MOTOZINTLA,EL PORVENIR,SILTEPEC,TAPACHULA,TUZANTAN,CAPITAN LUIS ANGEL VIDAL,HONDURAS DE LA SIERRA-NATIONAL_LOWER-runoff-2024"
62,84,"Diputación del Distrito Federal 13 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-IZTACALCO-NATIONAL_LOWER-runoff-2024"
63,125,"Diputación del Distrito Federal 13 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ECATEPEC DE MORELOS-NATIONAL_LOWER-runoff-2024"
64,178,"Diputación del Distrito Federal 13 de GUANAJUATO",2024-03-01,2024-05-29,"MX-GUA-ABASOLO,CUERAMARO,HUANIMARO,JARAL DEL PROGRESO,PUEBLO NUEVO,ROMITA,VALLE DE SANTIAGO-NATIONAL_LOWER-runoff-2024"
65,202,"Diputación del Distrito Federal 13 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-SAN PEDRO TLAQUEPAQUE,ZAPOPAN-NATIONAL_LOWER-runoff-2024"
66,273,"Diputación del Distrito Federal 13 de PUEBLA",2024-03-01,2024-05-29,"MX-PUE-ACTEOPAN,ATLIXCO,ATZALA,ATZITZIHUACAN,COHUECAN,CHIETLA,EPATLAN,HUAQUECHULA,IZUCAR DE MATAMOROS,OCOYUCAN,SAN DIEGO LA MESA TOCHIMILTZINGO,SAN MARTIN TOTOLTEPEC,SANTA ISABEL CHOLULA,TEPEMAXALCO,TEPEOJUMA,TEPEXCO,TIANGUISMANALCO,TILAPA,TLAPANALA,TOCHIMILCO,XOCHILTEPEC-NATIONAL_LOWER-runoff-2024"
67,349,"Diputación del Distrito Federal 13 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-CAMARON DE TEJEDA,CARRILLO PUERTO,COMAPA,COTAXTLA,CUITLAHUAC,HUATUSCO,IGNACIO DE LA LLAVE,PASO DEL MACHO,PASO DE OVEJAS,SOCHIAPA,SOLEDAD DE DOBLADO,TIERRA BLANCA,TLALIXCOYAN,ZENTLA-NATIONAL_LOWER-runoff-2024"
68,85,"Diputación del Distrito Federal 14 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-TLALPAN-NATIONAL_LOWER-runoff-2024"
69,126,"Diputación del Distrito Federal 14 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ATIZAPAN DE ZARAGOZA,CUAUTITLAN IZCALLI,TLALNEPANTLA DE BAZ-NATIONAL_LOWER-runoff-2024"
70,179,"Diputación del Distrito Federal 14 de GUANAJUATO",2024-03-01,2024-05-29,"MX-GUA-ACAMBARO,APASEO EL ALTO,APASEO EL GRANDE,CORONEO,JERECUARO,TARANDACUAO,TARIMORO-NATIONAL_LOWER-runoff-2024"
71,203,"Diputación del Distrito Federal 14 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-GUADALAJARA-NATIONAL_LOWER-runoff-2024"
72,274,"Diputación del Distrito Federal 14 de PUEBLA",2024-03-01,2024-05-29,"MX-PUE-COATZINGO,COHETZALA,CUAYUCA DE ANDRADE,CHIAUTLA,CHIGMECATITLAN,CHILA,CHILA DE LA SAL,CHINANTLA,GUADALUPE,HUATLATLAUCA,HUEHUETLAN EL CHICO,HUEHUETLAN EL GRANDE,HUITZILTEPEC,IXCAMILPA DE GUERRERO,JOLALPAN,LA MAGDALENA TLATLAUQUITEPEC,MOLCAXAC,PETLALCINGO,PIAXTLA,SAN JERONIMO XAYACATLAN,SAN JUAN ATZOMPA,SAN MIGUEL IXITLAN,SAN PABLO ANICANO,SAN PEDRO YELOIXTLAHUACA,SAN SALVADOR HUIXCOLOTLA,SANTA CATARINA TLALTEMPAN,SANTA INES AHUATEMPAN,SANTO TOMAS HUEYOTLIPAN,TECAMACHALCO,TECOMATLAN,TEHUITZINGO,TEOPANTLAN,TEOTLALCO,TEPEXI DE RODRIGUEZ,TEPEYAHUALCO DE CUAUHTEMOC,TLANEPANTLA,TOCHTEPEC,ACATLAN,AHUATLAN,AHUEHUETITLA,ALBINO ZERTUCHE,ATOYATEMPAN,AXUTLA,TOTOLTEPEC DE GUERRERO,TULCINGO,TZICATLACOYAN,XAYACATLAN DE BRAVO,XICOTLAN,XOCHITLAN TODOS SANTOS,YEHUALTEPEC,ZACAPALA-NATIONAL_LOWER-runoff-2024"
73,350,"Diputación del Distrito Federal 14 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-LAS CHOAPAS,HIDALGOTITLAN,JESUS CARRANZA,MINATITLAN,SAN JUAN EVANGELISTA,SAYULA DE ALEMAN,UXPANAPA-NATIONAL_LOWER-runoff-2024"
74,86,"Diputación del Distrito Federal 15 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-BENITO JUAREZ-NATIONAL_LOWER-runoff-2024"
75,127,"Diputación del Distrito Federal 15 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ATIZAPAN DE ZARAGOZA-NATIONAL_LOWER-runoff-2024"
76,180,"Diputación del Distrito Federal 15 de GUANAJUATO",2024-03-01,2024-05-29,"MX-GUA-IRAPUATO-NATIONAL_LOWER-runoff-2024"
77,204,"Diputación del Distrito Federal 15 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-DEGOLLADO,JAMAY,OCOTLAN,PONCITLAN,TOTOTLAN,ZAPOTLAN DEL REY,ATOTONILCO EL ALTO,AYOTLAN,LA BARCA-NATIONAL_LOWER-runoff-2024"
78,275,"Diputación del Distrito Federal 15 de PUEBLA",2024-03-01,2024-05-29,"MX-PUE-ATEXCAL,COYOTEPEC,IXCAQUIXTLA,JUAN N. MENDEZ,SANTIAGO MIAHUATLAN,TEHUACAN,TEPANCO DE LOPEZ,TLACOTEPEC DE BENITO JUAREZ-NATIONAL_LOWER-runoff-2024"
79,351,"Diputación del Distrito Federal 15 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-ALPATLAHUAC,ATZACAN,CALCAHUALCO,COSCOMATEPEC,IXHUATLANCILLO,IXTACZOQUITLAN,MARIANO ESCOBEDO,ORIZABA,LA PERLA,RIO BLANCO-NATIONAL_LOWER-runoff-2024"
80,87,"Diputación del Distrito Federal 16 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-ALVARO OBREGON-NATIONAL_LOWER-runoff-2024"
81,128,"Diputación del Distrito Federal 16 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ECATEPEC DE MORELOS,TLALNEPANTLA DE BAZ-NATIONAL_LOWER-runoff-2024"
82,205,"Diputación del Distrito Federal 16 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-SAN PEDRO TLAQUEPAQUE-NATIONAL_LOWER-runoff-2024"
83,352,"Diputación del Distrito Federal 16 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-IXHUATLAN DEL CAFE,TEPATLAXCO,TOMATLAN,YANGA,AMATLAN DE LOS REYES,ATOYAC,CORDOBA,CHOCAMAN,FORTIN-NATIONAL_LOWER-runoff-2024"
84,88,"Diputación del Distrito Federal 17 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-ALVARO OBREGON,CUAJIMALPA DE MORELOS-NATIONAL_LOWER-runoff-2024"
85,129,"Diputación del Distrito Federal 17 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ECATEPEC DE MORELOS-NATIONAL_LOWER-runoff-2024"
86,206,"Diputación del Distrito Federal 17 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-ACATLAN DE JUAREZ,ATEMAJAC DE BRIZUELA,COCULA,CONCEPCION DE BUENOS AIRES,CHAPALA,IXTLAHUACAN DE LOS MEMBRILLOS,JOCOTEPEC,LA MANZANILLA DE LA PAZ,MAZAMITLA,SAN MARTIN HIDALGO,TEOCUITATLAN DE CORONA,TIZAPAN EL ALTO,TUXCUECA,VILLA CORONA,ZACOALCO DE TORRES-NATIONAL_LOWER-runoff-2024"
87,353,"Diputación del Distrito Federal 17 de VERACRUZ DE IGNACIO DE LA LLAVE",2024-03-01,2024-05-29,"MX-VER-ACAYUCAN,COSAMALOAPAN,CHACALTIANGUIS,ISLA,IXMATLAHUACAN,JUAN RODRIGUEZ CLARA,OTATITLAN,PLAYA VICENTE,JOSE AZUETA,TLACOJALPAN,TUXTILLA,TRES VALLES,CARLOS A. CARRILLO,SANTIAGO SOCHIAPAN-NATIONAL_LOWER-runoff-2024"
88,89,"Diputación del Distrito Federal 18 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-IZTAPALAPA-NATIONAL_LOWER-runoff-2024"
